Current (mA) - Plot 0,Voltage (mV) - Plot 0,
-14.4,-1.19214,
-14.3,-1.18449,
-14.2,-1.17682,
-14.1,-1.16918,
-14,-1.16149,
-13.9,-1.15382,
-13.8,-1.14613,
-13.7,-1.13842,
-13.6,-1.13071,
-13.5,-1.123,
-13.4,-1.11529,
-13.3,-1.10757,
-13.2,-1.09984,
-13.1,-1.0921,
-13,-1.08435,
-12.9,-1.07659,
-12.8,-1.06883,
-12.7,-1.06107,
-12.6,-1.05328,
-12.5,-1.04552,
-12.4,-1.03773,
-12.3,-1.02996,
-12.2,-1.02217,
-12.1,-1.01434,
-12,-1.00664,
-11.9,-0.99885,
-11.8,-0.99103,
-11.7,-0.98319,
-11.6,-0.975341,
-11.5,-0.967497,
-11.4,-0.959646,
-11.3,-0.951776,
-11.2,-0.943893,
-11.1,-0.936008,
-11,-0.928124,
-10.9,-0.920226,
-10.8,-0.912321,
-10.7,-0.90441,
-10.6,-0.896474,
-10.5,-0.888553,
-10.4,-0.88061,
-10.3,-0.872665,
-10.2,-0.864699,
-10.1,-0.856746,
-10,-0.848764,
-9.9,-0.840778,
-9.8,-0.832788,
-9.7,-0.824794,
-9.6,-0.816788,
-9.5,-0.80876,
-9.4,-0.800733,
-9.3,-0.792705,
-9.2,-0.784665,
-9.1,-0.776602,
-9,-0.768532,
-8.9,-0.760449,
-8.8,-0.752367,
-8.7,-0.744281,
-8.6,-0.736164,
-8.5,-0.72804,
-8.4,-0.719923,
-8.3,-0.711788,
-8.2,-0.703651,
-8.1,-0.695494,
-8,-0.68733,
-7.9,-0.679143,
-7.8,-0.670958,
-7.7,-0.66275,
-7.6,-0.65454,
-7.5,-0.646327,
-7.4,-0.638091,
-7.3,-0.629855,
-7.2,-0.621592,
-7.1,-0.613324,
-7,-0.605042,
-6.9,-0.59676,
-6.8,-0.588464,
-6.7,-0.580146,
-6.6,-0.571827,
-6.5,-0.563486,
-6.4,-0.55515,
-6.3,-0.546784,
-6.2,-0.538414,
-6.1,-0.530039,
-6,-0.52165,
-5.9,-0.513228,
-5.8,-0.504822,
-5.7,-0.496392,
-5.6,-0.487963,
-5.5,-0.479501,
-5.4,-0.471043,
-5.3,-0.462564,
-5.2,-0.45408,
-5.1,-0.445574,
-5,-0.43708,
-4.9,-0.428552,
-4.8,-0.42001,
-4.7,-0.411468,
-4.6,-0.40292,
-4.5,-0.39434,
-4.4,-0.385764,
-4.3,-0.37719,
-4.2,-0.368582,
-4.1,-0.35998,
-4,-0.351342,
-3.9,-0.342713,
-3.8,-0.334078,
-3.7,-0.32542,
-3.6,-0.316754,
